Year,Month,Date in fraction of year for the middle of the corresponding month (~ day 15),Monthly smoothed total sunspot number,Monthly smoothed North sunspot number,Monthly smoothed South sunspot number,Monthly mean standard deviation of total sunspot number data,Monthly mean standard deviation of North sunspot number data,Monthly mean standard deviation of South sunspot number data,Number of observations for the monthly mean total sunspot number.
1992,1,1992.042,-1,-1,-1,-1,-1,-1,566
1992,2,1992.124,-1,-1,-1,-1,-1,-1,590
1992,3,1992.206,-1,-1,-1,-1,-1,-1,537
1992,4,1992.29,-1,-1,-1,-1,-1,-1,660
1992,5,1992.373,-1,-1,-1,-1,-1,-1,746
1992,6,1992.456,-1,-1,-1,-1,-1,-1,706
1992,7,1992.54,128.5,49.1,79.4,8.8,5.4,7.1,761
1992,8,1992.624,119.3,45.8,73.5,8.1,5,6.5,794
1992,9,1992.708,113,44.1,68.9,7.6,4.7,6.1,764
1992,10,1992.791,109,43.5,65.5,7.4,4.6,5.8,623
1992,11,1992.874,106.3,44.5,61.8,7.2,4.6,5.6,559
1992,12,1992.958,104.5,44.6,59.9,7.1,4.6,5.5,539
1993,1,1993.042,101.9,42.6,59.3,6.9,4.5,5.4,583
1993,2,1993.123,99.3,41.3,58,6.8,4.4,5.3,551
1993,3,1993.204,95.4,40.3,55.1,6.7,4.4,5.2,739
1993,4,1993.288,90.2,38.6,51.6,6.5,4.3,5,719
1993,5,1993.371,84.2,37.5,46.7,6.3,4.2,4.7,752
1993,6,1993.455,78.6,37.8,40.8,6,4.2,4.4,706
1993,7,1993.538,76.5,39.8,36.7,5.9,4.3,4.1,699
1993,8,1993.623,73.6,40.5,33.1,5.8,4.3,3.9,809
1993,9,1993.707,68.3,38.1,30.2,5.5,4.2,3.6,709
1993,10,1993.79,63.2,36.4,26.8,5.3,4.1,3.4,630
1993,11,1993.874,58.4,34.5,23.9,5.1,4,3.3,551
1993,12,1993.958,55.1,31.8,23.3,5,3.9,3.3,562
1994,1,1994.042,52.6,30.2,22.4,4.9,3.8,3.2,582
1994,2,1994.123,50.2,28.6,21.6,4.8,3.7,3.2,539
1994,3,1994.204,49.4,27.2,22.2,4.8,3.6,3.2,728
1994,4,1994.288,49.6,27.2,22.4,4.7,3.5,3.2,763
1994,5,1994.371,48.7,26.5,22.2,4.6,3.5,3.1,789
1994,6,1994.455,46.4,24.3,22.1,4.6,3.4,3.1,789
1994,7,1994.538,42.7,20.6,22.1,4.4,3.1,3.1,865
1994,8,1994.623,40.1,17.2,22.9,4.3,2.8,3.2,876
1994,9,1994.707,39.7,15.6,24.1,4.2,2.7,3.3,735
1994,10,1994.79,39.4,14.5,24.9,4.2,2.6,3.3,657
1994,11,1994.874,38.7,13.2,25.5,4.1,2.5,3.3,591
1994,12,1994.958,37.6,12.9,24.7,4,2.4,3.2,610
1995,1,1995.042,35.6,13,22.6,3.9,2.4,3.1,630
1995,2,1995.123,33.7,12.9,20.8,3.9,2.5,3,620
1995,3,1995.204,32,13.1,18.9,3.9,2.5,2.9,706
1995,4,1995.288,29.4,12.1,17.3,3.8,2.5,2.9,698
1995,5,1995.371,27.3,10.8,16.5,3.7,2.5,2.8,781
1995,6,1995.455,25.9,10.5,15.4,3.7,2.5,2.8,747
1995,7,1995.538,24.4,10.6,13.8,3.6,2.5,2.6,842
1995,8,1995.623,22,10.5,11.5,3.5,2.5,2.4,854
1995,9,1995.707,19,10.2,8.8,3.4,2.6,2.3,708
1995,10,1995.79,17,10.1,6.9,3.4,2.6,2.1,734
1995,11,1995.874,15.9,9.7,6.2,3.3,2.6,2.1,594
1995,12,1995.958,15.1,9.2,5.9,3.3,2.6,2.1,515
1996,1,1996.042,14.5,8.4,6.1,3.3,2.5,2.1,535
1996,2,1996.124,14.2,7.7,6.5,3.2,2.5,2.1,532
1996,3,1996.206,13.7,7,6.7,3.2,2.4,2.1,621
1996,4,1996.29,12,6.1,5.9,3.1,2.4,2,678
1996,5,1996.373,11.2,5.8,5.4,3.1,2.3,2.1,676
1996,6,1996.456,11.6,6,5.6,3.1,2.3,2.1,682
1996,7,1996.54,11.3,5.7,5.6,3.1,2.3,2.1,766
1996,8,1996.624,11.2,5.2,6,3,2.2,2.1,759
1996,9,1996.708,11.3,5.1,6.2,3,2.1,2.1,656
1996,10,1996.791,12,5.1,6.9,3,2.1,2.2,630
1996,11,1996.874,13.4,6,7.4,3,2.1,2.2,536
1996,12,1996.958,14.3,6.7,7.6,3,2.1,2.2,543
1997,1,1997.042,14.5,6.9,7.6,3.1,2.1,2.2,497
1997,2,1997.123,15.2,7.9,7.3,3.1,2.2,2.2,545
1997,3,1997.204,18.3,9.8,8.5,3.3,2.3,2.3,627
1997,4,1997.288,22,12,10,3.4,2.5,2.4,663
1997,5,1997.371,24.4,14.1,10.3,3.5,2.6,2.4,716
1997,6,1997.455,27.2,16.4,10.8,3.6,2.7,2.3,656
1997,7,1997.538,30.4,18.2,12.2,3.7,2.9,2.4,700
1997,8,1997.623,33.6,19.1,14.5,3.9,2.9,2.6,723
1997,9,1997.707,38.2,20,18.2,4.1,2.9,2.8,661
1997,10,1997.79,43.1,20.8,22.3,4.4,3,3.2,623
1997,11,1997.874,47.1,21.8,25.3,4.7,3.1,3.5,465
1997,12,1997.958,52,23.5,28.5,4.9,3.2,3.7,418
1998,1,1998.042,58.4,25.8,32.6,5.1,3.3,3.9,521
1998,2,1998.123,65.4,29.1,36.3,5.3,3.5,4.1,559
1998,3,1998.204,72,32.8,39.2,5.7,3.8,4.3,571
1998,4,1998.288,76.9,35.5,41.4,6,4,4.4,537
1998,5,1998.371,80.8,37,43.8,6.2,4.1,4.6,620
1998,6,1998.455,85.4,39.2,46.2,6.5,4.4,4.7,521
1998,7,1998.538,89.8,42.3,47.5,6.8,4.7,4.9,597
1998,8,1998.623,93.5,45.7,47.8,7,5,4.9,586
1998,9,1998.707,96.4,49.3,47.1,7.2,5.2,4.9,502
1998,10,1998.79,98.2,52.2,46,7.2,5.3,4.9,432
1998,11,1998.874,102.3,55.6,46.7,7.3,5.5,4.9,472
1998,12,1998.958,110.4,61.7,48.7,7.7,5.8,5.1,435
1999,1,1999.042,118.4,67.8,50.6,8,6.1,5.2,475
1999,2,1999.123,122.5,69.7,52.8,8.4,6.3,5.6,446
1999,3,1999.204,122.3,69.4,52.9,8.6,6.4,5.8,518
