Year,Month,Date in fraction of year for the middle of the corresponding month (~ day 15),Monthly smoothed total sunspot number,Monthly mean standard deviation of total sunspot number data,Number of observations for the monthly mean total sunspot number.
1992,7,1992.54,128.5,8.8,761
1992,8,1992.624,119.3,8.1,794
1992,9,1992.708,113,7.6,764
1992,10,1992.791,109,7.4,623
1992,11,1992.874,106.3,7.2,559
1992,12,1992.958,104.5,7.1,539
1993,1,1993.042,101.9,6.9,583
1993,2,1993.123,99.3,6.8,551
1993,3,1993.204,95.4,6.7,739
1993,4,1993.288,90.2,6.5,719
1993,5,1993.371,84.2,6.3,752
1993,6,1993.455,78.6,6,706
1993,7,1993.538,76.5,5.9,699
1993,8,1993.623,73.6,5.8,809
1993,9,1993.707,68.3,5.5,709
1993,10,1993.79,63.2,5.3,630
1993,11,1993.874,58.4,5.1,551
1993,12,1993.958,55.1,5,562
1994,1,1994.042,52.6,4.9,582
1994,2,1994.123,50.2,4.8,539
1994,3,1994.204,49.4,4.8,728
1994,4,1994.288,49.6,4.7,763
1994,5,1994.371,48.7,4.6,789
1994,6,1994.455,46.4,4.6,789
1994,7,1994.538,42.7,4.4,865
1994,8,1994.623,40.1,4.3,876
1994,9,1994.707,39.7,4.2,735
1994,10,1994.79,39.4,4.2,657
1994,11,1994.874,38.7,4.1,591
1994,12,1994.958,37.6,4,610
1995,1,1995.042,35.6,3.9,630
1995,2,1995.123,33.7,3.9,620
1995,3,1995.204,32,3.9,706
1995,4,1995.288,29.4,3.8,698
1995,5,1995.371,27.3,3.7,781
1995,6,1995.455,25.9,3.7,747
1995,7,1995.538,24.4,3.6,842
1995,8,1995.623,22,3.5,854
1995,9,1995.707,19,3.4,708
1995,10,1995.79,17,3.4,734
1995,11,1995.874,15.9,3.3,594
1995,12,1995.958,15.1,3.3,515
1996,1,1996.042,14.5,3.3,535
1996,2,1996.124,14.2,3.2,532
1996,3,1996.206,13.7,3.2,621
1996,4,1996.29,12,3.1,678
1996,5,1996.373,11.2,3.1,676
1996,6,1996.456,11.6,3.1,682
1996,7,1996.54,11.3,3.1,766
1996,8,1996.624,11.2,3,759
1996,9,1996.708,11.3,3,656
1996,10,1996.791,12,3,630
1996,11,1996.874,13.4,3,536
1996,12,1996.958,14.3,3,543
1997,1,1997.042,14.5,3.1,497
1997,2,1997.123,15.2,3.1,545
1997,3,1997.204,18.3,3.3,627
1997,4,1997.288,22,3.4,663
1997,5,1997.371,24.4,3.5,716
1997,6,1997.455,27.2,3.6,656
1997,7,1997.538,30.4,3.7,700
1997,8,1997.623,33.6,3.9,723
1997,9,1997.707,38.2,4.1,661
1997,10,1997.79,43.1,4.4,623
1997,11,1997.874,47.1,4.7,465
1997,12,1997.958,52,4.9,418
1998,1,1998.042,58.4,5.1,521
1998,2,1998.123,65.4,5.3,559
1998,3,1998.204,72,5.7,571
1998,4,1998.288,76.9,6,537
1998,5,1998.371,80.8,6.2,620
1998,6,1998.455,85.4,6.5,521
1998,7,1998.538,89.8,6.8,597
1998,8,1998.623,93.5,7,586
1998,9,1998.707,96.4,7.2,502
1998,10,1998.79,98.2,7.2,432
1998,11,1998.874,102.3,7.3,472
1998,12,1998.958,110.4,7.7,435
1999,1,1999.042,118.4,8,475
1999,2,1999.123,122.5,8.4,446
1999,3,1999.204,122.3,8.6,518
1999,4,1999.288,125,8.7,569
1999,5,1999.371,132.6,9.1,630
1999,6,1999.455,136.3,9.3,567
1999,7,1999.538,138.1,9.4,594
1999,8,1999.623,142.9,9.6,649
1999,9,1999.707,150.5,10,624
1999,10,1999.79,159.3,10.3,531
1999,11,1999.874,164.1,10.4,406
1999,12,1999.958,164,10.4,404
2000,1,2000.042,166.1,10.5,450
2000,2,2000.124,170.6,10.4,490
2000,3,2000.206,174.3,10.4,456
2000,4,2000.29,175.2,10.5,529
2000,5,2000.373,172.9,10.3,551
2000,6,2000.456,172.7,10.1,532
2000,7,2000.54,174.2,10,507
2000,8,2000.624,172.8,9.9,626
2000,9,2000.708,168.8,9.8,558
2000,10,2000.791,165.3,9.8,483
2000,11,2000.874,163.1,9.7,380
2000,12,2000.958,162.7,9.7,391
2001,1,2001.042,158.3,9.6,437
2001,2,2001.123,152.5,9.4,453
2001,3,2001.204,155.1,9.5,485
2001,4,2001.288,160.7,9.7,578
2001,5,2001.371,163.7,10,578
2001,6,2001.455,167.4,10.4,586
2001,7,2001.538,172,10.6,645
2001,8,2001.623,175.8,10.9,654
2001,9,2001.707,177.1,10.9,518
2001,10,2001.79,177.3,10.8,628
2001,11,2001.874,180.3,10.8,509
2001,12,2001.958,179.1,10.8,487
2002,1,2002.042,177.6,10.7,500
2002,2,2002.123,179.7,10.9,475
2002,3,2002.204,178.2,10.8,580
2002,4,2002.288,174.4,10.6,603
2002,5,2002.371,171.3,10.2,595
2002,6,2002.455,166.9,9.9,569
2002,7,2002.538,161.5,9.6,628
2002,8,2002.623,155.4,9.2,663
2002,9,2002.707,149.5,8.9,554
2002,10,2002.79,143.9,8.7,543
2002,11,2002.874,136,8.5,470
2002,12,2002.958,131.4,8.4,408
2003,1,2003.042,129.6,8.2,482
2003,2,2003.123,125.7,8,538
2003,3,2003.204,118.7,7.7,633
2003,4,2003.288,111.9,7.5,619
2003,5,2003.371,107,7.5,606
2003,6,2003.455,101.7,7.2,672
2003,7,2003.538,96,6.9,677
2003,8,2003.623,92.9,6.8,721
2003,9,2003.707,91.8,6.7,685
2003,10,2003.79,89.1,6.6,570
2003,11,2003.874,86.9,6.5,443
2003,12,2003.958,84.1,6.4,441
2004,1,2004.042,80.1,6.4,491
2004,2,2004.124,76.4,6.4,479
